C�digoMesa,NombreRecinto,Sigla,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,VotoNulo,VotoBlanco,VotoValido
1034.1224,U.E. Daniel Sanchez Bustamante,PDC,26,7,8,5,3,3,77,7,237,18,136
1035.1206,Colegio Venancio Loss,PDC,125,28,20,34,7,20,155,20,568,46,409
1036.1207,Unidad Educativa Kara Huasi   Pojo,PDC,35,1,8,2,2,1,45,0,168,8,94
1038.1213,Unidad Educativa Challhuani,PDC,45,9,12,13,1,8,70,1,364,15,159
1039.1214,Nucleo Escolar Duraznillo,PDC,0,0,1,1,0,0,5,0,169,4,7
104.2447,Escuela Villa Lipe,PDC,90,14,14,5,10,17,297,6,152,84,453
1040.1215,Unidad Educativa Yuthupampa,PDC,36,2,9,2,2,2,52,0,404,27,105
1041.1209,Unidad Educativa Rio Blanco,AP,196,27,8,35,11,11,122,17,1530,68,427
1042.25932,U.E. San Marcos,AP,777,41,29,69,11,21,335,51,3100,144,1334
1042.26470,U. E. Elizardo Pérez,AP,117,7,3,14,4,7,57,6,399,22,215
1043.1216,Unidad Educativa Palca C,AP,19,1,6,1,0,2,18,1,588,19,48
1044.1217,Unidad Educativa Rodeo C,AP,51,2,8,2,2,4,46,1,267,15,116
1045.1225,Escuela Gerónimo Uzeda Fe y Alegria,AP,538,143,32,121,18,44,398,78,2532,94,1372
1045.25894,U. E. Ernesto Che Guevara,AP,322,61,14,68,20,29,315,37,1393,63,866
1045.30075,U.E. Marcelo Quiroga Santa Cruz,AP,307,87,15,104,22,41,295,41,1480,63,912
1046.1226,Nucleo Educativo Entre Rios Tacuaral,AP,64,1,3,2,4,3,40,1,676,13,118
1047.1227,Nucleo Escolar Puerto Aurora,AP,68,3,4,11,3,8,32,4,454,24,133
1049.1228,Colegio Eduardo Avaroa (P.Villarroel),AP,189,154,16,126,11,17,124,65,808,89,702
105.2439,Colegio Central Porejoni,PDC,26,6,6,4,9,8,168,7,86,34,234
1050.25030,Unidad Educativa San Francisco De Asis,AP,614,118,50,125,21,42,417,56,4833,199,1443
1050.25031,Unidad Educativa Juana Azurduy De Padilla,AP,187,20,7,37,14,6,156,18,1320,45,445
1050.25893,U. E. San Antonio de Padua,PDC,413,72,24,117,28,29,447,71,2783,124,1201
1050.30083,U.E. Eben Ezer A,PDC,187,38,14,51,18,13,208,32,1254,38,561
1050.32186,U. E. Bello Horizonte,PDC,17,4,7,6,0,1,24,4,172,4,63
1051.1230,Colegio Libertad,AP,102,11,8,5,5,2,64,10,1109,29,207
1052.1212,Escuela Eduardo Avaroa (Isarzama),AP,298,13,8,13,4,6,79,12,2162,63,433
1053.1231,Escuela Buenas Nuevas (Valle Ivirza),AP,120,4,5,5,3,7,45,10,1785,42,199
1054.1232,Colegio Juan Pablo II (Sacta),AP,372,23,14,30,13,17,227,18,4422,118,714
1055.1233,Escuela Toribio Claure (V. Hermoso),AP,111,11,5,12,5,6,55,6,1970,52,211
1056.1234,Escuela Central Villa Nueva,AP,49,4,1,1,0,3,20,0,834,16,78
1057.1235,Colegio Marcelo Quiroga Santa Cruz,AP,280,25,18,28,15,17,169,19,2577,59,571
1058.1236,Escuela Ayopaya (P.Villaroel),AP,56,7,7,1,2,3,35,5,1122,27,116
1059.26064,Centro Polifuncional Cesarzama,AP,32,0,5,4,2,0,21,0,275,11,64
106.2401,Colegio Nacional Mixto Huatajata,PDC,147,39,23,54,25,48,615,64,186,38,1015
1060.1321,Colegio Pedro Ignacio Rivero,PDC,579,489,69,341,36,100,946,109,1712,216,2669
1060.32079,U.E. 14 de Septiembre,PDC,70,44,4,40,7,6,138,9,195,18,318
1062.1302,Sede Social De Tipa Tipa,PDC,75,29,3,18,7,6,85,2,231,32,225
1063.1303,Escuela Mixta Dr. Martin Cardenas,PDC,265,36,17,23,9,16,345,12,501,48,723
1064.1304,Escuela Guillermo Viscarra,AP,152,16,17,7,4,13,79,5,339,27,293
1065.1306,Unidad Educativa Tin Tin,PDC,79,45,11,34,11,9,141,9,284,57,339
1066.1309,Unidad Educativa Molinero,AP,58,9,4,4,1,3,16,2,180,46,97
1067.1307,Nucleo José Claure (U. E. San Vicente),AP,53,5,7,5,3,4,45,1,240,37,123
1068.1310,Nucleo Escolar Laguna Grande,AP,196,11,8,0,6,3,25,0,626,105,249
1069.1312,Nucleo Escolar Beta Raqay Pampa,AP,100,13,3,3,1,5,25,3,950,66,153
107.2366,Escuela Sanca Jahuira,PDC,24,3,8,8,5,25,138,15,54,14,226
1070.1313,Escuela Aguada,AP,97,14,17,11,5,12,65,6,341,33,227
1071.1314,Escuela Humberto Nogales,AP,94,20,3,15,4,19,60,2,463,61,217
1072.1315,Nucleo Escolar Siquimira,AP,59,3,2,1,0,4,25,2,375,5,96
1073.1316,Nucleo Escolar Sivingani,PDC,30,9,3,6,4,3,32,1,173,45,88
1074.1317,U. E. Abraham Flores Velasquez,PDC,27,2,0,3,0,4,27,1,301,13,64
1075.1318,Unidad Educativa Yana Khakha,AP,9,2,2,0,1,1,7,0,175,15,22
1076.25035,Escuela Adela Zamudio,PDC,348,624,66,630,53,87,1126,195,1472,137,3129
1076.25036,Escuela Andres Maria Torrico,PDC,269,353,28,406,33,46,947,118,1268,102,2200
1076.25037,U. E. Manuel A. Villarroel (Ex Bolivar),PDC,297,551,22,586,37,63,1128,152,1158,97,2836
1076.25038,U. E. Ruben Ferrufino (Camacho Rancho),PDC,91,94,17,88,14,10,215,27,365,48,556
1076.25039,Unidad Educativa Tajamar,PDC,100,104,12,63,10,10,165,49,225,46,513
